time,volume,mid_open,mid_high,mid_low,mid_close,bid_close,ask_close,spread
2026-04-30 09:00:00+00:00,10816,1.16802,1.16974,1.16732,1.16945,1.16938,1.16952,0.00013999999999980695
2026-04-30 10:00:00+00:00,22536,1.16946,1.17154,1.1689,1.1715,1.17142,1.17159,0.00017000000000000348
2026-04-30 11:00:00+00:00,21550,1.17149,1.17197,1.17032,1.1705,1.17042,1.17057,0.0001500000000000945
2026-04-30 12:00:00+00:00,17279,1.17048,1.17058,1.16894,1.16926,1.16918,1.16933,0.00014999999999987246
2026-04-30 13:00:00+00:00,20400,1.16926,1.17011,1.16819,1.16902,1.16893,1.1691,0.00017000000000000348
2026-04-30 14:00:00+00:00,20995,1.16901,1.17334,1.16877,1.17278,1.17271,1.17285,0.000140000000000029
2026-04-30 15:00:00+00:00,13984,1.17278,1.17358,1.17229,1.17284,1.17277,1.17292,0.00014999999999987246
2026-04-30 16:00:00+00:00,6989,1.17285,1.17356,1.1723,1.17256,1.17248,1.17263,0.0001500000000000945
2026-04-30 17:00:00+00:00,6400,1.17255,1.17325,1.1722,1.1725,1.17243,1.17258,0.00014999999999987246
2026-04-30 18:00:00+00:00,5432,1.17251,1.17402,1.17251,1.17364,1.17356,1.17372,0.00016000000000016001
2026-04-30 19:00:00+00:00,6310,1.17362,1.17418,1.17324,1.17335,1.17327,1.17343,0.00015999999999993797
2026-04-30 20:00:00+00:00,4466,1.17336,1.17365,1.17296,1.17308,1.17285,1.17331,0.000460000000000127
2026-04-30 21:00:00+00:00,1371,1.17306,1.17356,1.17304,1.17331,1.17299,1.17363,0.0006399999999999739
2026-04-30 22:00:00+00:00,1393,1.17345,1.17363,1.17294,1.17314,1.17305,1.17323,0.000180000000000069
2026-04-30 23:00:00+00:00,2402,1.17314,1.17332,1.17283,1.17288,1.1728,1.17296,0.00015999999999993797
2026-05-01 00:00:00+00:00,5068,1.17289,1.17299,1.17243,1.17276,1.17269,1.17284,0.0001500000000000945
2026-05-01 01:00:00+00:00,3206,1.17277,1.17332,1.17252,1.17312,1.17303,1.1732,0.00017000000000000348
2026-05-01 02:00:00+00:00,2570,1.17311,1.17342,1.17296,1.17338,1.17329,1.17346,0.00017000000000000348
2026-05-01 03:00:00+00:00,2530,1.17338,1.17364,1.17306,1.17311,1.17303,1.17319,0.00015999999999993797
2026-05-01 04:00:00+00:00,2361,1.17312,1.17322,1.1726,1.17268,1.17259,1.17276,0.00017000000000000348
2026-05-01 05:00:00+00:00,2413,1.17268,1.17271,1.17218,1.17226,1.17217,1.17234,0.00017000000000000348
2026-05-01 06:00:00+00:00,9023,1.17226,1.17452,1.17188,1.17355,1.17346,1.17364,0.000180000000000069
2026-05-01 07:00:00+00:00,10402,1.17354,1.1742,1.17315,1.17346,1.17339,1.17354,0.0001500000000000945
2026-05-01 08:00:00+00:00,6290,1.17345,1.17482,1.17319,1.17436,1.17428,1.17443,0.0001500000000000945
2026-05-01 09:00:00+00:00,5199,1.17436,1.17438,1.17308,1.17314,1.17305,1.17323,0.000180000000000069
2026-05-01 10:00:00+00:00,4549,1.17314,1.17459,1.1731,1.17448,1.17441,1.17455,0.000140000000000029
2026-05-01 11:00:00+00:00,5564,1.17448,1.17583,1.1744,1.17514,1.17506,1.17522,0.00015999999999993797
2026-05-01 12:00:00+00:00,9648,1.17514,1.17688,1.17482,1.17576,1.17567,1.17584,0.00017000000000000348
2026-05-01 13:00:00+00:00,11946,1.17575,1.17638,1.1744,1.17622,1.17609,1.17634,0.00024999999999986144
2026-05-01 14:00:00+00:00,15740,1.1762,1.17852,1.17608,1.17674,1.17667,1.17682,0.00014999999999987246
2026-05-01 15:00:00+00:00,11728,1.17675,1.17708,1.17532,1.1755,1.17543,1.17558,0.0001500000000000945
2026-05-01 16:00:00+00:00,8895,1.1755,1.17572,1.17378,1.17382,1.17374,1.1739,0.00015999999999993797
2026-05-01 17:00:00+00:00,5727,1.17382,1.17404,1.17293,1.17331,1.17322,1.1734,0.000180000000000069
2026-05-01 18:00:00+00:00,7115,1.17332,1.17342,1.17197,1.17274,1.17265,1.17282,0.00017000000000000348
2026-05-01 19:00:00+00:00,3400,1.17274,1.17285,1.17178,1.17197,1.17189,1.17205,0.00015999999999993797
2026-05-01 20:00:00+00:00,3074,1.17196,1.17228,1.17156,1.17212,1.17198,1.17227,0.00028999999999990145
2026-05-03 21:00:00+00:00,956,1.17478,1.17502,1.17389,1.17414,1.17378,1.17451,0.0007299999999998974
2026-05-03 22:00:00+00:00,2938,1.17407,1.17422,1.17271,1.17333,1.17324,1.17342,0.00017999999999984695
2026-05-03 23:00:00+00:00,2250,1.17332,1.17334,1.17252,1.1726,1.17252,1.17268,0.00015999999999993797
2026-05-04 00:00:00+00:00,5303,1.17258,1.17288,1.17216,1.17271,1.17263,1.17279,0.00015999999999993797
2026-05-04 01:00:00+00:00,5671,1.1727,1.17294,1.17202,1.17251,1.17242,1.1726,0.000180000000000069
2026-05-04 02:00:00+00:00,3748,1.17252,1.17288,1.17226,1.17276,1.17268,1.17284,0.00016000000000016001
2026-05-04 03:00:00+00:00,8388,1.17274,1.1739,1.17246,1.17375,1.17367,1.17383,0.00015999999999993797
2026-05-04 04:00:00+00:00,3654,1.17376,1.17384,1.17276,1.17292,1.17284,1.17299,0.00014999999999987246
2026-05-04 05:00:00+00:00,4312,1.17292,1.17324,1.17258,1.17306,1.17298,1.17315,0.00017000000000000348
2026-05-04 06:00:00+00:00,6370,1.17307,1.17372,1.17216,1.17288,1.1728,1.17297,0.00017000000000000348
2026-05-04 07:00:00+00:00,6751,1.17288,1.17292,1.17153,1.17178,1.1717,1.17186,0.00015999999999993797
2026-05-04 08:00:00+00:00,6083,1.17178,1.17231,1.17114,1.17192,1.17184,1.17201,0.00017000000000000348
2026-05-04 09:00:00+00:00,4790,1.17194,1.1724,1.17159,1.17174,1.17166,1.17182,0.00016000000000016001
2026-05-04 10:00:00+00:00,18020,1.17172,1.17174,1.16888,1.1705,1.17042,1.17059,0.00017000000000000348
2026-05-04 11:00:00+00:00,8394,1.17052,1.17086,1.16929,1.16932,1.16924,1.16941,0.00017000000000000348
2026-05-04 12:00:00+00:00,8230,1.16932,1.17124,1.16921,1.17092,1.17084,1.171,0.00015999999999993797
2026-05-04 13:00:00+00:00,12115,1.17092,1.17179,1.17021,1.17151,1.17144,1.17158,0.000140000000000029
2026-05-04 14:00:00+00:00,9981,1.17152,1.17164,1.17044,1.17072,1.17063,1.17082,0.00018999999999991246
2026-05-04 15:00:00+00:00,16693,1.17072,1.17158,1.16942,1.16974,1.16966,1.16983,0.00017000000000000348
2026-05-04 16:00:00+00:00,13626,1.16975,1.1701,1.1681,1.16823,1.16815,1.16831,0.00015999999999993797
2026-05-04 17:00:00+00:00,7679,1.16824,1.16972,1.16816,1.16936,1.16927,1.16945,0.000180000000000069
2026-05-04 18:00:00+00:00,5554,1.16936,1.1698,1.16884,1.16974,1.16966,1.16981,0.0001500000000000945
2026-05-04 19:00:00+00:00,6507,1.16973,1.17024,1.16936,1.16951,1.16943,1.16959,0.00015999999999993797
2026-05-04 20:00:00+00:00,2516,1.1695,1.1695,1.16872,1.16918,1.1691,1.16926,0.00015999999999993797
2026-05-04 21:00:00+00:00,484,1.16912,1.16931,1.16897,1.16906,1.16894,1.16918,0.00024000000000001798
2026-05-04 22:00:00+00:00,1020,1.1691,1.16924,1.1689,1.16901,1.16892,1.1691,0.000180000000000069
2026-05-04 23:00:00+00:00,823,1.169,1.1693,1.16898,1.16917,1.16909,1.16925,0.00015999999999993797
2026-05-05 00:00:00+00:00,3340,1.16918,1.1694,1.16851,1.16864,1.16856,1.16872,0.00015999999999993797
2026-05-05 01:00:00+00:00,3681,1.16864,1.16882,1.16798,1.16868,1.16861,1.16876,0.0001500000000000945
2026-05-05 02:00:00+00:00,2456,1.16869,1.16916,1.16862,1.16876,1.16868,1.16884,0.00016000000000016001
2026-05-05 03:00:00+00:00,1637,1.16874,1.16882,1.16836,1.1684,1.16833,1.16848,0.00014999999999987246
2026-05-05 04:00:00+00:00,2681,1.16839,1.16876,1.1677,1.16778,1.1677,1.16786,0.00015999999999993797
2026-05-05 05:00:00+00:00,3946,1.16776,1.16844,1.16766,1.16832,1.16824,1.16841,0.00017000000000000348
2026-05-05 06:00:00+00:00,6237,1.16831,1.16897,1.16796,1.1686,1.16852,1.16868,0.00015999999999993797
2026-05-05 07:00:00+00:00,7181,1.16862,1.16966,1.16858,1.16892,1.16884,1.16899,0.00014999999999987246
2026-05-05 08:00:00+00:00,6122,1.1689,1.16968,1.1685,1.16888,1.16879,1.16897,0.000180000000000069
2026-05-05 09:00:00+00:00,7439,1.16888,1.1693,1.16812,1.16903,1.16896,1.1691,0.000140000000000029
2026-05-05 10:00:00+00:00,4437,1.16902,1.16978,1.1687,1.16896,1.16887,1.16904,0.00017000000000000348
2026-05-05 11:00:00+00:00,6300,1.16895,1.16948,1.16834,1.16892,1.16883,1.169,0.00017000000000000348
2026-05-05 12:00:00+00:00,8609,1.1689,1.1698,1.16853,1.16924,1.16916,1.16933,0.00017000000000000348
2026-05-05 13:00:00+00:00,8240,1.16925,1.17048,1.16922,1.16976,1.16968,1.16984,0.00015999999999993797
2026-05-05 14:00:00+00:00,13847,1.16979,1.17059,1.16916,1.17058,1.1705,1.17065,0.00014999999999987246
2026-05-05 15:00:00+00:00,8406,1.17057,1.17136,1.17011,1.17065,1.17057,1.17073,0.00015999999999993797
2026-05-05 16:00:00+00:00,4502,1.17065,1.17089,1.16981,1.16994,1.16986,1.17003,0.00017000000000000348
2026-05-05 17:00:00+00:00,4563,1.16996,1.17042,1.16962,1.16988,1.1698,1.16997,0.00017000000000000348
2026-05-05 18:00:00+00:00,2638,1.16987,1.1701,1.16972,1.17,1.16992,1.17007,0.00014999999999987246
2026-05-05 19:00:00+00:00,2862,1.17001,1.17012,1.16942,1.16954,1.16946,1.16962,0.00016000000000016001
2026-05-05 20:00:00+00:00,1787,1.16952,1.16971,1.16923,1.1693,1.1692,1.1694,0.00019999999999997797
2026-05-05 21:00:00+00:00,367,1.16924,1.16942,1.16924,1.16931,1.16921,1.16941,0.00019999999999997797
2026-05-05 22:00:00+00:00,3204,1.1693,1.17095,1.16917,1.17058,1.17049,1.17066,0.00017000000000000348
2026-05-05 23:00:00+00:00,4962,1.17058,1.17256,1.17052,1.17148,1.17139,1.17156,0.00017000000000000348
2026-05-06 00:00:00+00:00,6478,1.17148,1.17216,1.17112,1.17204,1.17196,1.17211,0.0001500000000000945
2026-05-06 01:00:00+00:00,5292,1.17201,1.17262,1.17177,1.17214,1.17206,1.17222,0.00015999999999993797
2026-05-06 02:00:00+00:00,3315,1.17214,1.17248,1.17156,1.17174,1.17166,1.17181,0.0001500000000000945
2026-05-06 03:00:00+00:00,3112,1.17173,1.17232,1.17164,1.17178,1.1717,1.17186,0.00015999999999993797
2026-05-06 04:00:00+00:00,12970,1.17177,1.1743,1.17162,1.1737,1.17361,1.17378,0.00017000000000000348
2026-05-06 05:00:00+00:00,6178,1.1737,1.17382,1.17301,1.1733,1.17323,1.17338,0.0001500000000000945
2026-05-06 06:00:00+00:00,6464,1.17332,1.17358,1.17282,1.17334,1.17327,1.17342,0.00014999999999987246
2026-05-06 07:00:00+00:00,8427,1.17336,1.17384,1.17244,1.17376,1.17367,1.17384,0.00017000000000000348
2026-05-06 08:00:00+00:00,14179,1.17375,1.17708,1.17328,1.17625,1.17616,1.17634,0.00017999999999984695
2026-05-06 09:00:00+00:00,10720,1.17623,1.17774,1.17562,1.17752,1.17745,1.1776,0.00014999999999987246
2026-05-06 10:00:00+00:00,11893,1.1775,1.17967,1.17666,1.17892,1.17884,1.17899,0.00014999999999987246
2026-05-06 11:00:00+00:00,12320,1.1789,1.17917,1.17683,1.177,1.17692,1.17708,0.00015999999999993797
2026-05-06 12:00:00+00:00,13845,1.177,1.17702,1.17518,1.17537,1.1753,1.17544,0.000140000000000029
2026-05-06 13:00:00+00:00,13610,1.17536,1.17592,1.17464,1.17518,1.1751,1.17525,0.00014999999999987246
